iso2c,country,year,growth,growth_pc,gdp_ppp,gdp_ppp_pc,unemployment,population
BE,Belgium,2010,2.86429270764155,1.928764195703,522609732425.371,47965.2707459123,8.29,10895586
BE,Belgium,2011,1.69451389861332,0.38003456979618,531465426976.825,48147.5553562431,7.14,11038264
BE,Belgium,2012,0.739217283058679,0.11640257847661,535394111266.52,48203.6003521512,7.54,11106932
BE,Belgium,2013,0.459242192907709,-0.0131483860964465,537852866923.799,48197.2623566645,8.43,11159407
BE,Belgium,2014,1.57853314322614,1.12859572471172,546343052689.983,48741.2145990499,8.52,11209057
BE,Belgium,2015,2.04145900919961,1.45189336758756,557496422160.259,49448.8850610951,8.48,11274196
BE,Belgium,2016,1.26668640902095,0.755268919102846,564558153570.541,49822.3571208045,7.83,11331422
BE,Belgium,2017,1.62154719764955,1.23082559288272,573712730488.866,50435.5834432248,7.09,11375158
BE,Belgium,2018,1.78792007785043,1.32564993365052,583970255586.46,51104.1827216761,5.95,11427054
BE,Belgium,2019,1.78469437853346,1.23607135159067,594392339910.219,51735.8668837633,5.36,11488980
BE,Belgium,2020,-6.28392995127165,-6.82742004273285,557041141634.537,48203.6419388597,6.01,11555997
BG,Bulgaria,1962,,,,,,8012946
BG,Bulgaria,1963,,,,,,8078145
BG,Bulgaria,1964,,,,,,8144340
BG,Bulgaria,1965,,,,,,8204168
BG,Bulgaria,1966,,,,,,8258057
BG,Bulgaria,1967,,,,,,8310226
BG,Bulgaria,1968,,,,,,8369603
BG,Bulgaria,1969,,,,,,8434172
BG,Bulgaria,1970,,,,,,8489574
BG,Bulgaria,1971,,,,,,8536395
BG,Bulgaria,1972,,,,,,8576200
BG,Bulgaria,1973,,,,,,8620967
BG,Bulgaria,1974,,,,,,8678745
BG,Bulgaria,1975,,,,,,8720742
BG,Bulgaria,1976,,,,,,8758599
BG,Bulgaria,1977,,,,,,8804183
BG,Bulgaria,1978,,,,,,8814032
BG,Bulgaria,1979,,,,,,8825940
BG,Bulgaria,1980,,,,,,8861535
BG,Bulgaria,1981,4.90016185983106,4.55114422929741,,,,8891117
BG,Bulgaria,1982,2.33456559219081,2.0322941646192,,,,8917457
BG,Bulgaria,1983,3.43030591266272,3.17252088070316,,,,8939738
BG,Bulgaria,1984,3.39644362278422,3.15480736665845,,,,8960679
BG,Bulgaria,1985,2.68344073997304,2.68495339474488,,,,8960547
BG,Bulgaria,1986,4.2076020043413,4.23524126936117,,,,8958171
BG,Bulgaria,1987,6.05451383876874,5.89861249444556,,,,8971359
BG,Bulgaria,1988,10.9446920641534,10.8200908463928,,,,8981446
BG,Bulgaria,1989,-3.28988206795439,-2.15169070485979,,,,8876972
BG,Bulgaria,1990,-9.11737709653309,-7.46320765454847,105236495922.899,12070.773969858,,8718289
BG,Bulgaria,1991,-8.44535517671254,-7.53406882935191,96348900066.6838,11161.3535507334,13.4,8632367
BG,Bulgaria,1992,-7.2723879985458,-6.27126389725568,89342034221.5034,10461.3956150612,13.5,8540164
BG,Bulgaria,1993,-1.48021475855352,-0.691213461219803,88019580245.3647,10389.0850403384,13.67,8472313
BG,Bulgaria,1994,1.81801119768079,2.16435873128586,89619786070.3771,10613.9421095097,13.72,8443591
BG,Bulgaria,1995,2.8550510546256,3.31418764439746,92178476717.7326,10965.7080674866,13.71,8406067
